cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis
0,283,1,30041515,"[""100000006866783100"", ""100000008477350100"", ""100000002398779100"", ""100000000437046100"", ""100000004299488100""]",Signs of consolidation: 18 consolidators; 1 distributors; 9 coordinators; 12 transit; 1 terminals; internal KZT 30041515. Louvain on undirected weighted projection.
18,7,0,143000,"[""100000005911352100"", ""100000004508696100"", ""100000002217806100"", ""100000000507799100"", ""100000004549591100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 143000. Louvain on undirected weighted projection.
19,8,0,2473418,"[""100000004906181100"", ""100000008175078100"", ""100000008675322100"", ""100000000557536100"", ""100000008349740100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 2473418. Louvain on undirected weighted projection.
20,17,1,21586840,"[""100000004399686100"", ""100000002224132100"", ""100000004603109100"", ""100000004892144100"", ""100000001965374100""]",Signs of endpoint accumulation: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 1 terminals; internal KZT 21586840. Louvain on undirected weighted projection.
21,270,1,10178044,"[""100000002527114100"", ""100000001697501100"", ""100000002578405100"", ""100000004739664100"", ""100000003942602100""]",Signs of distribution: 0 consolidators; 3 distributors; 0 coordinators; 3 transit; 0 terminals; internal KZT 10178044. Louvain on undirected weighted projection.
22,6,1,1527967,"[""100000005183943100"", ""100000000580561100"", ""100000007939160100"", ""100000003888271100"", ""100000007930878100""]",Signs of endpoint accumulation: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 1 terminals; internal KZT 1527967. Louvain on undirected weighted projection.
23,51,0,13990812,"[""100000005242320100"", ""100000008512827100"", ""100000008742053100"", ""100000001282143100"", ""100000002956769100""]",Signs of endpoint accumulation: 4 consolidators; 3 distributors; 0 coordinators; 0 transit; 7 terminals; internal KZT 13990812. Louvain on undirected weighted projection.
24,2,0,761255,"[""100000000583220100"", ""100000004586598100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 761255. Louvain on undirected weighted projection.
25,8,0,389000,"[""100000005507142100"", ""100000002612809100"", ""100000001825934100"", ""100000005264874100"", ""100000002214207100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 389000. Louvain on undirected weighted projection.
26,13,1,1392916,"[""100000003164661100"", ""100000006232815100"", ""100000001380054100"", ""100000001782980100"", ""100000000703894100""]",Signs of endpoint accumulation: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 1 terminals; internal KZT 1392916. Louvain on undirected weighted projection.
27,41,0,5151924,"[""100000003242289100"", ""100000008413748100"", ""100000003964910100"", ""100000008221543100"", ""100000008512552100""]",Signs of distribution: 0 consolidators; 2 distributors; 0 coordinators; 0 transit; 2 terminals; internal KZT 5151924. Louvain on undirected weighted projection.
28,18,0,3422800,"[""100000003701161100"", ""100000002267998100"", ""100000008137435100"", ""100000003718221100"", ""100000003104347100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 3422800. Louvain on undirected weighted projection.
29,7,0,3077000,"[""100000002241986100"", ""100000001053894100"", ""100000002594214100"", ""100000004047887100"", ""100000001286703100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 3077000. Louvain on undirected weighted projection.
30,4,0,518000,"[""100000003163886100"", ""100000002205022100"", ""100000000629812100"", ""100000001380107100""]",Signs of endpoint accumulation: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 1 terminals; internal KZT 518000. Louvain on undirected weighted projection.
31,20,0,617900,"[""100000003154105100"", ""100000001427082100"", ""100000002185328100"", ""100000000723383100"", ""100000002448088100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 617900. Louvain on undirected weighted projection.
32,13,0,6748650,"[""100000007442518100"", ""100000000673868100"", ""100000008258083100"", ""100000000821507100"", ""100000002911170100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 6748650. Louvain on undirected weighted projection.
33,17,1,2977887,"[""100000004144536100"", ""100000004160650100"", ""100000002731501100"", ""100000004007116100"", ""100000003616818100""]",Signs of consolidation: 1 consolidators; 1 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 2977887. Louvain on undirected weighted projection.
34,25,0,5089597,"[""100000006977207100"", ""100000002459832100"", ""100000002936322100"", ""100000002531406100"", ""100000005527892100""]",Signs of endpoint accumulation: 0 consolidators; 1 distributors; 0 coordinators; 1 transit; 2 terminals; internal KZT 5089597. Louvain on undirected weighted projection.
35,11,0,3784703,"[""100000003004487100"", ""100000002175422100"", ""100000001317336100"", ""100000003557488100"", ""100000005042822100""]",Signs of consolidation: 1 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 3784703. Louvain on undirected weighted projection.
36,3,1,450000,"[""100000002371751100"", ""100000007018630100"", ""100000000769919100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 450000. Louvain on undirected weighted projection.
37,10,0,1929435,"[""100000007629096100"", ""100000007639767100"", ""100000002741024100"", ""100000001439416100"", ""100000007511780100""]",Signs of consolidation: 1 consolidators; 0 distributors; 1 coordinators; 0 transit; 0 terminals; internal KZT 1929435. Louvain on undirected weighted projection.
38,9,0,1406982,"[""100000002217161100"", ""100000001445848100"", ""100000007647294100"", ""100000008254576100"", ""100000002242066100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 1406982. Louvain on undirected weighted projection.
39,4,1,1404980,"[""100000000785800100"", ""100000008601794100"", ""100000001872484100"", ""100000002459163100""]",Signs of pass-through: 0 consolidators; 0 distributors; 0 coordinators; 1 transit; 0 terminals; internal KZT 1404980. Louvain on undirected weighted projection.
40,44,0,10215969,"[""100000005933757100"", ""100000002605308100"", ""100000001904863100"", ""100000001937767100"", ""100000004159526100""]",Signs of consolidation: 1 consolidators; 0 distributors; 1 coordinators; 0 transit; 1 terminals; internal KZT 10215969. Louvain on undirected weighted projection.
41,10,0,322010,"[""100000008172352100"", ""100000004552204100"", ""100000007322059100"", ""100000000993112100"", ""100000001597505100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 322010. Louvain on undirected weighted projection.
42,56,3,13397542,"[""100000003404627100"", ""100000008547844100"", ""100000008466579100"", ""100000008465789100"", ""100000002547110100""]",Signs of consolidation: 3 consolidators; 3 distributors; 0 coordinators; 2 transit; 0 terminals; internal KZT 13397542. Louvain on undirected weighted projection.
43,30,1,6513430,"[""100000003854444100"", ""100000007594394100"", ""100000001690558100"", ""100000002799941100"", ""100000005661829100""]",Signs of pass-through: 1 consolidators; 1 distributors; 0 coordinators; 2 transit; 2 terminals; internal KZT 6513430. Louvain on undirected weighted projection.
44,4,0,1595700,"[""100000001052945100"", ""100000001131403100"", ""100000004616845100"", ""100000005146665100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 1595700. Louvain on undirected weighted projection.
45,4,0,832800,"[""100000008625905100"", ""100000003159641100"", ""100000001065234100"", ""100000002194320100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 832800. Louvain on undirected weighted projection.
46,25,0,7556605,"[""100000008743913100"", ""100000008710843100"", ""100000001887715100"", ""100000001303311100"", ""100000007229557100""]",Signs of consolidation: 3 consolidators; 2 distributors; 0 coordinators; 0 transit; 2 terminals; internal KZT 7556605. Louvain on undirected weighted projection.
47,29,0,446070,"[""100000008460102100"", ""100000001164648100"", ""100000004891562100"", ""100000002706810100"", ""100000008715513100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 446070. Louvain on undirected weighted projection.
48,5,0,172000,"[""100000005031696100"", ""100000004659919100"", ""100000002700161100"", ""100000001223977100"", ""100000008461217100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 172000. Louvain on undirected weighted projection.
49,15,0,3436955,"[""100000003111305100"", ""100000005171642100"", ""100000006664478100"", ""100000004221668100"", ""100000002152857100""]",Signs of pass-through: 1 consolidators; 0 distributors; 0 coordinators; 2 transit; 0 terminals; internal KZT 3436955. Louvain on undirected weighted projection.
50,26,14,2289450,"[""100000004403675100"", ""100000004041163100"", ""100000005382566100"", ""100000005264990100"", ""100000005417257100""]",Signs of brokerage: 0 consolidators; 0 distributors; 1 coordinators; 0 transit; 0 terminals; internal KZT 2289450. Louvain on undirected weighted projection.
51,5,0,338950,"[""100000004715209100"", ""100000008190411100"", ""100000003133045100"", ""100000004747154100"", ""100000001498732100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 338950. Louvain on undirected weighted projection.
52,6,0,2540000,"[""100000004717647100"", ""100000004479404100"", ""100000002922000100"", ""100000002659103100"", ""100000001533161100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 2540000. Louvain on undirected weighted projection.
53,4,1,79050,"[""100000003148220100"", ""100000004971871100"", ""100000006888238100"", ""100000001852140100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 79050. Louvain on undirected weighted projection.
54,10,0,603900,"[""100000003635170100"", ""100000008501413100"", ""100000002696152100"", ""100000004209339100"", ""100000002156381100""]",Signs of pass-through: 0 consolidators; 0 distributors; 0 coordinators; 2 transit; 0 terminals; internal KZT 603900. Louvain on undirected weighted projection.
55,3,0,553830,"[""100000003321895100"", ""100000003692843100"", ""100000002371892100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 553830. Louvain on undirected weighted projection.
56,6,1,275885,"[""100000005485830100"", ""100000005895525100"", ""100000002462183100"", ""100000005056870100"", ""100000007175718100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 275885. Louvain on undirected weighted projection.
57,4,0,332709,"[""100000002513028100"", ""100000004610802100"", ""100000002516862100"", ""100000004780083100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 332709. Louvain on undirected weighted projection.
58,5,1,2809200,"[""100000004135268100"", ""100000002738256100"", ""100000008571433100"", ""100000004979498100"", ""100000007507343100""]",Signs of pass-through: 0 consolidators; 0 distributors; 0 coordinators; 2 transit; 0 terminals; internal KZT 2809200. Louvain on undirected weighted projection.
59,3,1,390168,"[""100000002781227100"", ""100000002796853100"", ""100000008522127100""]",Signs of pass-through: 0 consolidators; 0 distributors; 0 coordinators; 1 transit; 0 terminals; internal KZT 390168. Louvain on undirected weighted projection.
60,6,0,720900,"[""100000008761219100"", ""100000007472293100"", ""100000006638021100"", ""100000008333492100"", ""100000002794374100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 720900. Louvain on undirected weighted projection.
61,2,1,30000,"[""100000003200071100"", ""100000003980083100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 30000. Louvain on undirected weighted projection.
62,10,0,1727065,"[""100000005519998100"", ""100000004336312100"", ""100000004017410100"", ""100000004076740100"", ""100000005767403100""]",Signs of pass-through: 0 consolidators; 0 distributors; 0 coordinators; 2 transit; 0 terminals; internal KZT 1727065. Louvain on undirected weighted projection.
63,1,1,0,"[""100000003265658100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 0. Louvain on undirected weighted projection.
64,1,1,0,"[""100000003349739100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 0. Louvain on undirected weighted projection.
65,7,0,1765600,"[""100000007392365100"", ""100000007865484100"", ""100000008551752100"", ""100000003631015100"", ""100000004976946100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 1765600. Louvain on undirected weighted projection.
66,7,0,1268308,"[""100000008011159100"", ""100000006169033100"", ""100000006232642100"", ""100000003664994100"", ""100000005754335100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 1268308. Louvain on undirected weighted projection.
67,1,1,0,"[""100000003770083100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 0. Louvain on undirected weighted projection.
68,2,1,81465,"[""100000005392290100"", ""100000003865939100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 81465. Louvain on undirected weighted projection.
69,1,1,0,"[""100000004021459100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 0. Louvain on undirected weighted projection.
70,3,0,1557988,"[""100000008258458100"", ""100000004035925100"", ""100000008619159100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 1557988. Louvain on undirected weighted projection.
71,6,1,383300,"[""100000004094958100"", ""100000005363908100"", ""100000004331458100"", ""100000008575624100"", ""100000005547096100""]",Signs of pass-through: 0 consolidators; 0 distributors; 0 coordinators; 2 transit; 0 terminals; internal KZT 383300. Louvain on undirected weighted projection.
72,1,1,0,"[""100000004174835100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 0. Louvain on undirected weighted projection.
73,3,1,450816,"[""100000004388983100"", ""100000005034574100"", ""100000007283257100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 450816. Louvain on undirected weighted projection.
74,3,0,627870,"[""100000008628231100"", ""100000004666651100"", ""100000005664632100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 627870. Louvain on undirected weighted projection.
75,1,1,0,"[""100000005017150100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 0. Louvain on undirected weighted projection.
76,1,1,0,"[""100000005087431100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 0. Louvain on undirected weighted projection.
77,1,1,0,"[""100000005235389100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 0. Louvain on undirected weighted projection.
78,1,1,0,"[""100000005480435100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 0. Louvain on undirected weighted projection.
79,1,1,0,"[""100000005495722100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 0. Louvain on undirected weighted projection.
80,1,1,0,"[""100000005550592100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 0. Louvain on undirected weighted projection.
81,1,1,0,"[""100000005560900100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 0. Louvain on undirected weighted projection.
82,1,1,0,"[""100000005568407100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 0. Louvain on undirected weighted projection.
83,5,2,108007,"[""100000006249740100"", ""100000006562026100"", ""100000006831291100"", ""100000007347733100"", ""100000008129393100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 108007. Louvain on undirected weighted projection.
84,2,0,584900,"[""100000008430691100"", ""100000007330432100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 584900. Louvain on undirected weighted projection.
85,2,0,857500,"[""100000008324800100"", ""100000007390016100""]",Signs of consolidation: 1 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 857500. Louvain on undirected weighted projection.
86,1,1,0,"[""100000008117324100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 0. Louvain on undirected weighted projection.
87,1,1,0,"[""100000008205000100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 0. Louvain on undirected weighted projection.
88,1,1,0,"[""100000008513251100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 0. Louvain on undirected weighted projection.
89,1,1,0,"[""100000008669037100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 0. Louvain on undirected weighted projection.
90,1,1,0,"[""100000008701222100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 0. Louvain on undirected weighted projection.
